LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
131300,JACKSON,WY,83001,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/06/2020,Rocky Mountain Bank,WY - 00
131128,CHEYENNE,WY,82009,621210,Subchapter S Corporation,White,Male Owned,Unanswered,,10,04/15/2020,Western States Bank,WY - 00
131100,LOVELL,WY,82431,447110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,23,04/14/2020,Jonah Bank of Wyoming,WY - 00
131092,GLENROCK,WY,82637,213112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,04/27/2020,Hilltop National Bank,WY - 00
131030,CHEYENNE,WY,82001,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,19,04/06/2020,Banner Capital Bank,WY - 00
130900,CASPER,WY,82609,531110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,11,04/08/2020,Hilltop National Bank,WY - 00
130732,CASPER,WY,82601,621210,Corporation,Unanswered,Unanswered,Unanswered,,13,04/11/2020,First Interstate Bank,WY - 00
130715,EVANSTON,WY,82930,624110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,14,04/29/2020,Glacier Bank,WY - 01
130700,LARAMIE,WY,82072,621210,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,10,04/06/2020,ANB Bank,WY - 00
130662.5,ROCK SPRINGS,WY,82902,339999,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,18,04/15/2020,Cache Valley Bank,WY - 00
130600,GILLETTE,WY,82716,238210,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,7,04/07/2020,Security State Bank,WY - 00
130600,GILLETTE,WY,82718,213112,Subchapter S Corporation,White,Unanswered,Unanswered,,8,04/08/2020,First National Bank of Gillette,WY - 00
130467,ALPINE,WY,83128,238110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,25,04/15/2020,"U.S. Bank, National Association",WY - 00
130462,CASPER,WY,82601,541110,Partnership,Unanswered,Unanswered,Unanswered,,15,04/28/2020,First Interstate Bank,WY - 00
130400,ROCK SPRINGS,WY,82901,532310,Corporation,Unanswered,Female Owned,Unanswered,,10,04/15/2020,NebraskaLand National Bank,WY - 00
130400,LARAMIE,WY,82070,624410,Corporation,Unanswered,Unanswered,Unanswered,,27,04/05/2020,ANB Bank,WY - 02
130397.5,EVANSTON,WY,82930,541990,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,14,04/14/2020,Uinta Bank,WY - 01
130200,CHEYENNE,WY,82001,332323,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,18,04/03/2020,Pinnacle Bank-Wyoming,WY - 00
130115,CASPER,WY,82601,531210,Corporation,Unanswered,Unanswered,Unanswered,,12,04/10/2020,First Interstate Bank,WY - 00
130100,CODY,WY,82414,621340,Corporation,Unanswered,Unanswered,Unanswered,,11,04/08/2020,Pinnacle Bank-Wyoming,WY - 00
129900,THERMOPOLIS,WY,82443,532412,Corporation,Unanswered,Unanswered,Unanswered,,5,04/10/2020,"Bank of Bridger, National Association",WY - 00
129732,GILLETTE,WY,82718,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,24,04/08/2020,First Interstate Bank,WY - 00
129500,CASPER,WY,82609,721110,Corporation,White,Male Owned,Unanswered,,17,04/04/2020,American Bank & Trust,WY - 00
129500,WHEATLAND,WY,82201,441310,Corporation,Unanswered,Male Owned,Unanswered,,15,04/07/2020,Platte Valley Bank,WY - 00
129500,FORT WASHAKIE,WY,82514,445110,Corporation,White,Male Owned,Unanswered,,30,04/08/2020,Central Bank & Trust,WY - 00
129455,CHEYENNE,WY,82009,624190,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,18,04/10/2020,Wyoming Bank & Trust,WY - 00
129452,JACKSON,WY,83002,238220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,21,04/28/2020,First Interstate Bank,WY - 00
129400,CHEYENNE,WY,82001,511210,Corporation,Unanswered,Unanswered,Non-Veteran,,5,04/14/2020,First Republic Bank,WY - 00
129400,SHERIDAN,WY,82801,332313,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,05/01/2020,First Federal Bank & Trust,WY - 00
129355,CHEYENNE,WY,82001,541191,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,17,04/15/2020,First Interstate Bank,WY - 00
128900,MILLS,WY,82644,238110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,04/09/2020,Platte Valley Bank,WY - 00
128800,ROCK SPRINGS,WY,82901,722511,Subchapter S Corporation,Asian,Male Owned,Unanswered,,33,04/27/2020,Trona Valley Community FCU,WY - 00
128700,JACKSON,WY,83001,621210,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,12,04/14/2020,"Zions Bank, A Division of",WY - 00
128694,JACKSON,WY,83001,813990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/10/2020,Rocky Mountain Bank,WY - 00
128532,JACKSON,WY,83001,562111,Corporation,Unanswered,Unanswered,Unanswered,,11,04/13/2020,First Interstate Bank,WY - 00
128400,CHEYENNE,WY,82001,444220,Corporation,Unanswered,Unanswered,Unanswered,,14,04/09/2020,Central Bank & Trust,WY - 00
128300,CHEYENNE,WY,82001,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,17,04/08/2020,ANB Bank,WY - 00
128264,JACKSON,WY,83001,541618,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",WY - 00
128200,CHEYENNE,WY,82001,621420,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,15,04/15/2020,ANB Bank,WY - 00
128200,CHEYENNE,WY,82003,562910,Subchapter S Corporation,White,Male Owned,Non-Veteran,,13,04/10/2020,Pinnacle Bank-Wyoming,WY - 00
128155,ROCK SPRINGS,WY,82901,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,25,04/28/2020,RSNB Bank,WY - 00
128115.92,SHERIDAN,WY,82801,621310,Corporation,Unanswered,Unanswered,Unanswered,,13,04/07/2020,First Interstate Bank,WY - 00
128100,GILLETTE,WY,82717,238210,Corporation,Unanswered,Unanswered,Unanswered,,9,04/05/2020,Pioneer Bank & Trust,WY - 00
128005,JACKSON,WY,83001,713990,Corporation,Unanswered,Unanswered,Unanswered,,3,04/14/2020,"U.S. Bank, National Association",WY - 00
128000,GILLETTE,WY,82718,213112,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,04/14/2020,ANB Bank,WY - 00
127961,JACKSON,WY,83001,541618,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,25,06/18/2020,Small Business Bank,WY - 00
127900,GILLETTE,WY,82716,333992,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,04/12/2020,First Interstate Bank,WY - 00
127900,WILSON,WY,83014,541310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,04/28/2020,Bank of Jackson Hole,WY - 00
127810.77,ROCK SPRINGS,WY,82901,424410,Corporation,White,Male Owned,Non-Veteran,,13,04/09/2020,RSNB Bank,WY - 00
127800,DOUGLAS,WY,82633,721110,Corporation,White,Male Owned,Veteran,,30,04/07/2020,The Converse County Bank,WY - 00
127791.75,GILLETTE,WY,82718,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,18,04/11/2020,First Interstate Bank,WY - 00
127787,CASPER,WY,82601,332710,Corporation,Unanswered,Unanswered,Unanswered,,11,04/06/2020,Hilltop National Bank,WY - 00
127670,SHERIDAN,WY,82801,238220,Corporation,Unanswered,Unanswered,Unanswered,,15,04/07/2020,First Interstate Bank,WY - 00
127600,GILLETTE,WY,82718,442299,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,13,04/04/2020,First National Bank of Gillette,WY - 00
127500,GILLETTE,WY,82716,621111,Subchapter S Corporation,White,Male Owned,Veteran,,8,04/03/2020,First National Bank of Gillette,WY - 00
127500,WAMSUTTER,WY,82336,811118,Corporation,Unanswered,Male Owned,Non-Veteran,,14,04/04/2020,Pinnacle Bank-Wyoming,WY - 00
127500,CASPER,WY,82601,621320,Corporation,White,Male Owned,Non-Veteran,,9,04/07/2020,Hilltop National Bank,WY - 00
127500,CASPER,WY,82609,238290,Corporation,Unanswered,Unanswered,Unanswered,,14,04/07/2020,First Interstate Bank,WY - 00
127475,CHEYENNE,WY,82001,423840,Subchapter S Corporation,White,Male Owned,Non-Veteran,,11,04/09/2020,Western States Bank,WY - 00
127420,LARAMIE,WY,82070,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,29,04/30/2020,Bank of the West,WY - 02
127329.65,JACKSON,WY,83001,561720,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,04/13/2020,First Interstate Bank,WY - 00
127200,GILLETTE,WY,82716,488119,Corporation,White,Male Owned,Non-Veteran,,7,04/06/2020,The Converse County Bank,WY - 00
127125,LYMAN,WY,82937,237120,Corporation,Unanswered,Unanswered,Unanswered,,,04/12/2020,Uinta Bank,WY - 00
127122,JACKSON,WY,83001,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/28/2020,Rocky Mountain Bank,WY - 00
127100,GILLETTE,WY,82718,621210,Corporation,White,Male Owned,Non-Veteran,,9,04/06/2020,First National Bank of Gillette,WY - 00
127000,JACKSON,WY,83002,721110,Subchapter S Corporation,White,Male Owned,Non-Veteran,,64,04/06/2020,Bank of Jackson Hole,WY - 00
127000,CHEYENNE,WY,82001,811111,Subchapter S Corporation,White,Male Owned,Non-Veteran,,16,04/07/2020,Jonah Bank of Wyoming,WY - 00
127000,WORLAND,WY,82401,221310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,04/09/2020,Jonah Bank of Wyoming,WY - 00
126900,SARATOGA,WY,82331,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,21,04/04/2020,RNB State Bank,WY - 00
126700.83,JACKSON,WY,83001,541611,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,11,04/27/2020,First Interstate Bank,WY - 00
126700,LANDER,WY,82520,721110,Corporation,White,Male Owned,Unanswered,,38,04/07/2020,Central Bank & Trust,WY - 00
126577,BUFFALO,WY,82834,812210,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,30,05/06/2020,First Northern Bank of Wyoming,WY - 00
126515,JACKSON,WY,83001,621210,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,8,04/14/2020,Rocky Mountain Bank,WY - 00
126400,CHEYENNE,WY,82009,441320,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,04/27/2020,Jonah Bank of Wyoming,WY - 00
126400,CHEYENNE,WY,82009,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,27,04/27/2020,Jonah Bank of Wyoming,WY - 00
126400,EVANSVILLE,WY,82636,238310,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,11,04/07/2020,Platte Valley Bank,WY - 00
126315,LARAMIE,WY,82070,721110,Limited Liability Partnership,Unanswered,Male Owned,Non-Veteran,,18,04/11/2020,First Interstate Bank,WY - 02
126300,JACKSON,WY,83002,441320,Corporation,White,Male Owned,Unanswered,,12,04/15/2020,Bank of Jackson Hole,WY - 00
126247.7,DUBOIS,WY,82513,327991,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,10,06/17/2020,Central Bank & Trust,WY - 00
126227,BUFFALO,WY,82834,722513,Corporation,White,Female Owned,Non-Veteran,,11,04/14/2020,First Northern Bank of Wyoming,WY - 00
126200,CHEYENNE,WY,82007,721110,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,30,04/10/2020,Pinnacle Bank-Wyoming,WY - 00
126181.82,BUFFALO,WY,82834,541330,Corporation,White,Male Owned,Non-Veteran,,11,04/08/2020,First Northern Bank of Wyoming,WY - 00
126100,SHERIDAN,WY,82801,531210,Corporation,Unanswered,Female Owned,Unanswered,,10,04/03/2020,First Federal Bank & Trust,WY - 00
126100,PINEDALE,WY,82941,811111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/07/2020,Bank of Jackson Hole,WY - 00
126078,WILSON,WY,83014,541990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,14,04/11/2020,First Interstate Bank,WY - 00
126068.75,CODY,WY,82414,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,65,04/07/2020,Glacier Bank,WY - 00
126018,JACKSON,WY,83001,999990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,04/30/2020,Bank of the West,WY - 00
126000,CASPER,WY,82601,238210,Subchapter S Corporation,White,Male Owned,Non-Veteran,,11,04/03/2020,Platte Valley Bank,WY - 00
125900,SHERIDAN,WY,82801,236115,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,20,04/04/2020,First Federal Bank & Trust,WY - 00
125900,GILLETTE,WY,82716,621498,Corporation,White,Male Owned,Non-Veteran,,19,04/09/2020,Platte Valley Bank,WY - 00
125800,ROCK SPRINGS,WY,82901,621111,Corporation,Unanswered,Unanswered,Unanswered,,12,04/09/2020,NebraskaLand National Bank,WY - 00
125700,POWELL,WY,82435,213112,Corporation,Unanswered,Unanswered,Unanswered,,15,04/27/2020,Glacier Bank,WY - 00
125607,CHEYENNE,WY,82009,713950,Limited  Liability Company(LLC),Unanswered,Male Owned,Veteran,,40,04/30/2020,Cross River Bank,WY - 00
125594,DOUGLAS,WY,82633,112111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,04/09/2020,First National Bank of Gillette,WY - 00
125500,NEWCASTLE,WY,82701,611699,Non-Profit Childcare Center,Unanswered,Unanswered,Unanswered,Y,34,04/03/2020,Pinnacle Bank-Wyoming,WY - 00
125449,GILLETTE,WY,82718,623990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,04/09/2020,First Interstate Bank,WY - 00
125200,LANDER,WY,82520,238220,Subchapter S Corporation,White,Male Owned,Non-Veteran,,10,04/03/2020,Wyoming Community Bank,WY - 00
125200,POWELL,WY,82435,238210,Corporation,White,Male Owned,Non-Veteran,,10,04/05/2020,Pinnacle Bank-Wyoming,WY - 00
125102,PINEDALE,WY,82941,721110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,27,04/10/2020,Security First Bank,WY - 00
125100,CHEYENNE,WY,82001,621210,Subchapter S Corporation,White,Male Owned,Non-Veteran,,12,04/03/2020,Jonah Bank of Wyoming,WY - 00
125000,JACKSON,WY,83001,339999,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,05/04/2020,Cross River Bank,WY - 00
125000,SHERIDAN,WY,82801,339112,Corporation,Unanswered,Unanswered,Unanswered,,7,04/10/2020,"JPMorgan Chase Bank, National Association",WY - 00
125000,CHEYENNE,WY,82007,811111,Corporation,Unanswered,Unanswered,Unanswered,,10,04/11/2020,First Interstate Bank,WY - 00
125000,CODY,WY,82414,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,23,04/27/2020,Pinnacle Bank-Wyoming,WY - 00
125000,CASPER,WY,82601,711190,Corporation,Unanswered,Unanswered,Unanswered,,5,06/27/2020,Cross River Bank,WY - 00
124880,JACKSON,WY,83001,721110,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,,18,04/14/2020,Bankers' Bank of the West,WY - 00
124700,SHERIDAN,WY,82801,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,04/03/2020,First Federal Bank & Trust,WY - 00
124665,EVANSTON,WY,82930,561110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,21,04/10/2020,Glacier Bank,WY - 01
124600,CHEYENNE,WY,82009,561730,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,17,04/27/2020,Jonah Bank of Wyoming,WY - 00
124600,EDGERTON,WY,82635,213112,Corporation,Unanswered,Male Owned,Unanswered,,10,04/07/2020,Hilltop National Bank,WY - 00
124560,CODY,WY,82414,532490,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,04/07/2020,Glacier Bank,WY - 00
124300,TORRINGTON,WY,82240,621210,Corporation,White,Male Owned,Non-Veteran,,10,04/03/2020,Platte Valley Bank,WY - 00
124217.5,POWELL,WY,82435,541110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,04/07/2020,Glacier Bank,WY - 00
124200,CASPER,WY,82604,713910,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,62,04/07/2020,Hilltop National Bank,WY - 00
124200,SHERIDAN,WY,82801,551112,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,14,04/08/2020,City National Bank of Florida,WY - 00
123675,ALTA,WY,83414,531312,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,06/10/2020,Bank of the West,WY - 00
123600,WILSON,WY,83014,722511,Corporation,Unanswered,Unanswered,Unanswered,,20,05/11/2020,Bank of Jackson Hole,WY - 00
123595,GREEN RIVER,WY,82935,238990,Corporation,Unanswered,Unanswered,Unanswered,,9,05/03/2020,"U.S. Bank, National Association",WY - 00
123567,ETNA,WY,83118,441228,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,04/07/2020,Glacier Bank,WY - 00
123500,NEWCASTLE,WY,82701,333132,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,13,04/03/2020,Pinnacle Bank-Wyoming,WY - 00
123493.65,CASPER,WY,82601,531320,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,19,04/15/2020,First Interstate Bank,WY - 00
123440,CASPER,WY,82604,423390,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5,04/15/2020,Hilltop National Bank,WY - 00
123415.15,WHEATLAND,WY,82201,484121,Corporation,Unanswered,Unanswered,Unanswered,,11,04/27/2020,Glacier Bank,WY - 00
123400,ROCK RIVER,WY,82083,238990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,04/13/2020,First Interstate Bank,WY - 00
123400,POWELL,WY,82435,811310,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,15,04/27/2020,Jonah Bank of Wyoming,WY - 00
123400,WORLAND,WY,82401,721110,Corporation,Unanswered,Male Owned,Non-Veteran,,31,04/06/2020,ANB Bank,WY - 00
123347,CASPER,WY,82609,611620,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,6,04/07/2020,Hilltop National Bank,WY - 00
123265,CASPER,WY,82601,515120,Corporation,Unanswered,Unanswered,Unanswered,,27,04/09/2020,Hilltop National Bank,WY - 00
123185,FARSON,WY,82932,213112,Corporation,Unanswered,Male Owned,Non-Veteran,,6,04/28/2020,RSNB Bank,WY - 00
123127,JACKSON,WY,83001,487210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,06/17/2020,"FC Marketplace, LLC (dba Funding Circle)",WY - 00
123100,CASPER,WY,82601,238220,Subchapter S Corporation,White,Male Owned,Non-Veteran,,17,04/12/2020,First Interstate Bank,WY - 00
123000,ALPINE,WY,83128,541611,Corporation,Unanswered,Unanswered,Unanswered,,2,04/11/2020,Bell Bank,WY - 00
123000,GILLETTE,WY,82718,621210,Subchapter S Corporation,White,Female Owned,Unanswered,,10,04/07/2020,First National Bank of Gillette,WY - 00
123000,GILLETTE,WY,82718,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,17,04/08/2020,Platte Valley Bank,WY - 00
122985,WHEATLAND,WY,82201,112111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,04/07/2020,Banner Capital Bank,WY - 00
122900,JACKSON,WY,83001,721110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,19,04/13/2020,Bank of Jackson Hole,WY - 00
122807,JACKSON,WY,83001,448310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,04/08/2020,Glacier Bank,WY - 00
122800,JACKSON,WY,83001,453998,Corporation,Unanswered,Unanswered,Unanswered,,33,04/27/2020,Bank of Jackson Hole,WY - 00
122800,CASPER,WY,82601,238910,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,04/14/2020,ANB Bank,WY - 00
122749.25,PINE BLUFFS,WY,82082,112111,Corporation,Unanswered,Unanswered,Unanswered,,12,04/27/2020,Farmers State Bank,WY - 03
122700,CASPER,WY,82601,722511,Subchapter S Corporation,White,Male Owned,Non-Veteran,,35,04/10/2020,Jonah Bank of Wyoming,WY - 00
122627,BUFFALO,WY,82834,446110,Subchapter S Corporation,White,Male Owned,Unanswered,,12,04/07/2020,First Northern Bank of Wyoming,WY - 00
122505,ROCK SPRINGS,WY,82901,213112,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,6,04/10/2020,RSNB Bank,WY - 00
122500,CASPER,WY,82609,621340,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,10,04/27/2020,Jonah Bank of Wyoming,WY - 00
122500,CASPER,WY,82601,811111,Corporation,Unanswered,Unanswered,Unanswered,,8,04/15/2020,Montana Community Development Corp.,WY - 00
122334,JACKSON,WY,83001,561730,Subchapter S Corporation,White,Male Owned,Non-Veteran,,,04/14/2020,Rocky Mountain Bank,WY - 00
122300,SHERIDAN,WY,82801,238220,Corporation,White,Unanswered,Unanswered,,9,04/03/2020,First Federal Bank & Trust,WY - 00
122226.75,LARAMIE,WY,82070,236220,Subchapter S Corporation,White,Male Owned,Unanswered,,14,04/10/2020,Western States Bank,WY - 02
122148.77,GILLETTE,WY,82717,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,04/07/2020,First Interstate Bank,WY - 00
122100,SHERIDAN,WY,82801,531390,Corporation,Unanswered,Unanswered,Unanswered,,10,04/06/2020,First Federal Bank & Trust,WY - 00
122082.5,SHERIDAN,WY,82801,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,04/28/2020,First Interstate Bank,WY - 00
122000,JACKSON,WY,83001,446110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,04/05/2020,Bank of Jackson Hole,WY - 00
121800,LARAMIE,WY,82072,624410,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,28,04/05/2020,ANB Bank,WY - 00
121710,BUFFALO,WY,82834,444130,Corporation,Unanswered,Male Owned,Unanswered,,18,04/09/2020,First Northern Bank of Wyoming,WY - 00
121700,DOUGLAS,WY,82633,721110,Corporation,Asian,Male Owned,Non-Veteran,,30,04/08/2020,Metro City Bank,WY - 00
121511,CHEYENNE,WY,82001,423820,Corporation,White,Female Owned,Non-Veteran,,10,04/15/2020,Western States Bank,WY - 00
121426.5,SHERIDAN,WY,82801,531120,Corporation,Unanswered,Unanswered,Unanswered,,24,04/10/2020,First Interstate Bank,WY - 00
121400,WHEATLAND,WY,82201,423330,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,16,04/03/2020,Platte Valley Bank,WY - 00
121400,CASPER,WY,82601,561431,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,18,04/06/2020,Hilltop National Bank,WY - 00
121300,SHERIDAN,WY,82801,238110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/13/2020,First Federal Bank & Trust,WY - 00
121257.5,CASPER,WY,82601,541110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/15/2020,First Interstate Bank,WY - 00
121200,PINEDALE,WY,82941,238220,Corporation,Unanswered,Unanswered,Unanswered,,11,04/09/2020,Glacier Bank,WY - 00
121140,EVANSTON,WY,82930,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,35,04/08/2020,Glacier Bank,WY - 01
120900,LARAMIE,WY,82072,238140,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,04/13/2020,First Interstate Bank,WY - 00
120672.79,GILLETTE,WY,82718,236117,Corporation,White,Male Owned,Non-Veteran,,12,04/07/2020,First Interstate Bank,WY - 00
120635,JACKSON,WY,83001,541712,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,5,05/03/2020,"U.S. Bank, National Association",WY - 00
120606,JACKSON,WY,83002,811412,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",WY - 00
120386.4,CASPER,WY,82601,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,04/16/2020,First Interstate Bank,WY - 00
120288,CASPER,WY,82601,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,04/14/2020,First Interstate Bank,WY - 00
120207.5,CODY,WY,82414,423820,Corporation,Unanswered,Unanswered,Unanswered,,11,04/05/2020,Glacier Bank,WY - 00
120200,JACKSON,WY,83001,236118,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/12/2020,First Interstate Bank,WY - 00
120200,LANDER,WY,82520,722511,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,32,04/03/2020,Central Bank & Trust,WY - 00
120200,GILLETTE,WY,82718,541330,Subchapter S Corporation,White,Male Owned,Unanswered,,6,04/28/2020,Security State Bank,WY - 00
120200,JACKSON,WY,83001,561730,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,04/28/2020,Bank of Jackson Hole,WY - 00
120100,WILSON,WY,83014,237990,Corporation,Unanswered,Unanswered,Unanswered,,10,04/08/2020,Bank of Jackson Hole,WY - 00
120000,BURNS,WY,82053,484210,Corporation,Unanswered,Unanswered,Unanswered,,7,05/03/2020,Celtic Bank Corporation,WY - 00
120000,CHEYENNE,WY,82007,811310,Corporation,White,Male Owned,Unanswered,,10,04/27/2020,Jonah Bank of Wyoming,WY - 00
120000,LARAMIE,WY,82070,541110,Professional Association,Unanswered,Unanswered,Unanswered,,11,04/13/2020,First Interstate Bank,WY - 02
120000,BIG PINEY,WY,83113,213112,Corporation,Unanswered,Unanswered,Unanswered,,8,04/14/2020,Glacier Bank,WY - 00
120000,CHEYENNE,WY,82001,453998,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,7,04/14/2020,"Readycap Lending, LLC",WY - 00
119890.7,GILLETTE,WY,82718,213112,Corporation,Unanswered,Unanswered,Unanswered,,15,04/29/2020,First Northern Bank of Wyoming,WY - 00
119853,SARATOGA,WY,82331,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,19,05/01/2020,Bank of the West,WY - 00
119750,CHEYENNE,WY,82009,237990,Corporation,Unanswered,Unanswered,Unanswered,,16,05/12/2020,Meridian Trust FCU,WY - 00
119600,JACKSON,WY,83001,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,04/06/2020,Bank of Jackson Hole,WY - 00
119500,GILLETTE,WY,82718,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,35,04/13/2020,First Interstate Bank,WY - 00
119500,CASPER,WY,82604,713910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,04/07/2020,Hilltop National Bank,WY - 00
119257,GILLETTE,WY,82716,621112,Corporation,White,Male Owned,Non-Veteran,,10,04/09/2020,First National Bank of Gillette,WY - 00
119211,LARAMIE,WY,82070,446110,Subchapter S Corporation,White,Unanswered,Unanswered,,16,04/15/2020,Western States Bank,WY - 02
119200,GILLETTE,WY,82718,722511,Corporation,Unanswered,Unanswered,Unanswered,,26,04/13/2020,Dacotah Bank,WY - 00
119152,EVANSTON,WY,82930,926150,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,04/08/2020,Glacier Bank,WY - 01
119100,SUNDANCE,WY,82729,238910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,04/03/2020,Sundance State Bank,WY - 00
